rodada,multiplicador,end,date,minuto,total,fonte,fetched_at
3108931,1.39,21:32:14,2025-09-20,32,1,apostaganha,2025-09-21T00:38:19+00:00
3108932,3.53,21:32:33,2025-09-20,32,1,apostaganha,2025-09-21T00:38:19+00:00
3108933,1.32,21:32:59,2025-09-20,32,1,apostaganha,2025-09-21T00:38:19+00:00
3108934,2.16,21:33:20,2025-09-20,33,1,apostaganha,2025-09-21T00:38:19+00:00
3108935,1.0,21:33:45,2025-09-20,33,1,apostaganha,2025-09-21T00:38:19+00:00
3108936,1.7,21:33:59,2025-09-20,33,1,apostaganha,2025-09-21T00:38:19+00:00
3108937,5.75,21:34:22,2025-09-20,34,1,apostaganha,2025-09-21T00:38:19+00:00
3108938,3.52,21:34:54,2025-09-20,34,1,apostaganha,2025-09-21T00:38:19+00:00
3108939,3.52,21:35:24,2025-09-20,35,1,apostaganha,2025-09-21T00:38:19+00:00
3108940,1.77,21:35:53,2025-09-20,35,1,apostaganha,2025-09-21T00:38:19+00:00
3108941,2.01,21:36:17,2025-09-20,36,1,apostaganha,2025-09-21T00:38:19+00:00
3108942,7.76,21:36:39,2025-09-20,36,1,apostaganha,2025-09-21T00:38:19+00:00
3108943,3.68,21:37:16,2025-09-20,37,1,apostaganha,2025-09-21T00:38:19+00:00
3108944,1.1,21:37:42,2025-09-20,37,1,apostaganha,2025-09-21T00:38:19+00:00
3108945,2.62,21:37:57,2025-09-20,37,1,apostaganha,2025-09-21T00:38:21+00:00
3108946,1.2,21:38:22,2025-09-20,38,1,apostaganha,2025-09-21T00:38:39+00:00
3108947,46.86,21:38:43,2025-09-20,38,1,apostaganha,2025-09-21T00:39:38+00:00
3108948,1.8,21:39:40,2025-09-20,39,1,apostaganha,2025-09-21T00:39:55+00:00
