rodada,timestamp,date,time_end,multiplicador,multiplicador_str,minuto,total,ingested_at
3108891,2025-09-20T21:14:43,2025-09-20,21:14:43,3.91,3.91,14,1,2025-09-21T00:43:22.447867+00:00
3108890,2025-09-20T21:14:28,2025-09-20,21:14:28,1.14,1.14,14,1,2025-09-21T00:43:22.447867+00:00
3108889,2025-09-20T21:14:11,2025-09-20,21:14:11,1.35,1.35,14,1,2025-09-21T00:43:22.447867+00:00
3108888,2025-09-20T21:13:50,2025-09-20,21:13:50,2.12,2.12,13,1,2025-09-21T00:43:22.447867+00:00
3108887,2025-09-20T21:13:09,2025-09-20,21:13:09,12.8,12.8,13,1,2025-09-21T00:43:22.447867+00:00
3108886,2025-09-20T21:12:46,2025-09-20,21:12:46,2.53,2.53,12,1,2025-09-21T00:43:22.447867+00:00
3108885,2025-09-20T21:12:03,2025-09-20,21:12:03,15.43,15.43,12,1,2025-09-21T00:43:22.447867+00:00
3108884,2025-09-20T21:11:32,2025-09-20,21:11:32,5.09,5.09,11,1,2025-09-21T00:43:22.447867+00:00
3108883,2025-09-20T21:11:10,2025-09-20,21:11:10,2.79,2.79,11,1,2025-09-21T00:43:22.447867+00:00
3108882,2025-09-20T21:10:50,2025-09-20,21:10:50,1.59,1.59,10,1,2025-09-21T00:43:22.447867+00:00
3108881,2025-09-20T21:10:28,2025-09-20,21:10:28,2.07,2.07,10,1,2025-09-21T00:43:22.447867+00:00
3108880,2025-09-20T21:10:08,2025-09-20,21:10:08,2.17,2.17,10,1,2025-09-21T00:43:22.447867+00:00
3108879,2025-09-20T21:09:50,2025-09-20,21:09:50,1.74,1.74,9,1,2025-09-21T00:43:22.447867+00:00
3108878,2025-09-20T21:09:33,2025-09-20,21:09:33,1.62,1.62,9,1,2025-09-21T00:43:22.447867+00:00
3108877,2025-09-20T21:09:20,2025-09-20,21:09:20,1.04,1.04,9,1,2025-09-21T00:43:22.447867+00:00
3108876,2025-09-20T21:08:56,2025-09-20,21:08:56,2.39,2.39,8,1,2025-09-21T00:43:22.447867+00:00
3108875,2025-09-20T21:08:02,2025-09-20,21:08:02,38.27,38.27,8,1,2025-09-21T00:43:22.447867+00:00
3108874,2025-09-20T21:07:44,2025-09-20,21:07:44,1.76,1.76,7,1,2025-09-21T00:43:22.447867+00:00
3108873,2025-09-20T21:06:59,2025-09-20,21:06:59,16.13,16.13,6,1,2025-09-21T00:43:22.447867+00:00
3108872,2025-09-20T21:06:30,2025-09-20,21:06:30,4.52,4.52,6,1,2025-09-21T00:43:22.447867+00:00
3108871,2025-09-20T21:06:02,2025-09-20,21:06:02,4.41,4.41,6,1,2025-09-21T00:43:22.447867+00:00
3108870,2025-09-20T21:05:48,2025-09-20,21:05:48,1.25,1.25,5,1,2025-09-21T00:43:22.447867+00:00
3108869,2025-09-20T21:05:32,2025-09-20,21:05:32,1.31,1.31,5,1,2025-09-21T00:43:22.447867+00:00
3108868,2025-09-20T21:05:03,2025-09-20,21:05:03,4.03,4.03,5,1,2025-09-21T00:43:22.447867+00:00
3108867,2025-09-20T21:04:51,2025-09-20,21:04:51,1.03,1.03,4,1,2025-09-21T00:43:22.447867+00:00
3108866,2025-09-20T21:04:31,2025-09-20,21:04:31,2.27,2.27,4,1,2025-09-21T00:43:22.447867+00:00
3108865,2025-09-20T21:04:09,2025-09-20,21:04:09,2.55,2.55,4,1,2025-09-21T00:43:22.447867+00:00
3108864,2025-09-20T21:03:40,2025-09-20,21:03:40,4.82,4.82,3,1,2025-09-21T00:43:22.447867+00:00
3108863,2025-09-20T21:03:25,2025-09-20,21:03:25,1.05,1.05,3,1,2025-09-21T00:43:22.447867+00:00
3108862,2025-09-20T21:03:09,2025-09-20,21:03:09,1.36,1.36,3,1,2025-09-21T00:43:22.447867+00:00
3108861,2025-09-20T21:02:42,2025-09-20,21:02:42,3.88,3.88,2,1,2025-09-21T00:43:22.447867+00:00
3108860,2025-09-20T21:02:22,2025-09-20,21:02:22,2.02,2.02,2,1,2025-09-21T00:43:22.447867+00:00
3108859,2025-09-20T21:01:55,2025-09-20,21:01:55,3.09,3.09,1,1,2025-09-21T00:43:22.447867+00:00
3108858,2025-09-20T21:01:41,2025-09-20,21:01:41,1.25,1.25,1,1,2025-09-21T00:43:22.447867+00:00
3108857,2025-09-20T21:01:25,2025-09-20,21:01:25,1.04,1.04,1,1,2025-09-21T00:43:22.447867+00:00
3108856,2025-09-20T21:01:06,2025-09-20,21:01:06,1.88,1.88,1,1,2025-09-21T00:43:22.447867+00:00
3108855,2025-09-20T21:00:49,2025-09-20,21:00:49,1.65,1.65,0,1,2025-09-21T00:43:22.447867+00:00
3108854,2025-09-20T21:00:35,2025-09-20,21:00:35,1.13,1.13,0,1,2025-09-21T00:43:22.447867+00:00
3108853,2025-09-20T20:59:59,2025-09-20,20:59:59,6.38,6.38,59,1,2025-09-21T00:43:22.447867+00:00
3108852,2025-09-20T20:59:32,2025-09-20,20:59:32,4.16,4.16,59,1,2025-09-21T00:43:22.447867+00:00
3108851,2025-09-20T20:58:34,2025-09-20,20:58:34,46.37,46.37,58,1,2025-09-21T00:43:22.447867+00:00
